filepath,ground_truth,system_verdict,final_score,score_Visual (Spatial),score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
zh_120_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.905750,0.480338,0.989452,0.950754,0.888621,0.901598
zh_96_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.903606,0.698310,0.396877,0.923614,0.971692,0.960147
ru_18_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.852178,0.323481,0.986218,0.938817,0.687693,0.844160
en_73_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.941612,0.896798,0.927152,0.928386,0.854471,0.991983
en_112_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.892848,0.778076,0.993190,0.921905,0.890601,0.858193
zh_40_label_real.npz,Real,Real,0.134072,0.313730,0.033921,0.114866,0.300932,0.099733
fr_22_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.913270,0.763688,0.636128,0.935762,0.978144,0.926778
zh_86_to_en_Vall_label_fake.npz,Fake,Deepfake,0.861109,0.372290,0.329523,0.867042,0.938510,0.977139
es_50_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.948854,0.885780,0.965065,0.934642,0.950111,0.973463
zh_46_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.973939,0.898057,0.915152,0.978167,0.970538,0.988712
es_108_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.960446,0.793074,0.992061,0.960067,0.934889,0.987628
es_32_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.925892,0.859641,0.455053,0.949723,0.954465,0.963817
es_39_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.926944,0.926039,0.321510,0.931843,0.991141,0.988924
ru_17_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.930904,0.906766,0.560153,0.918163,0.990542,0.986660
en_93_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.949646,0.809371,0.978911,0.939596,0.914498,0.988469
en_88_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.921012,0.707455,0.953926,0.949853,0.935352,0.905641
en_4_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.881171,0.342698,0.956778,0.963799,0.830386,0.855568
ru_110_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.967547,0.915859,0.985936,0.953695,0.988081,0.984247
en_10_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.964606,0.865734,0.918910,0.966126,0.952226,0.986841
en_103_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.973678,0.900737,0.989561,0.978797,0.916978,0.991447
en_14_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.959342,0.924367,0.731899,0.960476,0.974680,0.990990
ru_61_to_en_Bark_label_fake.npz,Fake,Deepfake,0.943644,0.839596,0.988177,0.950935,0.967077,0.936077
fr_108_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.944859,0.858291,0.471114,0.966607,0.983981,0.985764
fr_64_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.946844,0.876377,0.866768,0.933205,0.950181,0.984934
fr_54_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.808565,0.426163,0.232602,0.933335,0.940954,0.747230
zh_48_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.968533,0.925601,0.996009,0.950158,0.987303,0.989003
en_35_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.969312,0.916974,0.990141,0.959198,0.955049,0.990893
es_37_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.971211,0.906604,0.947556,0.965684,0.984645,0.987089
en_68_to_es_Bark_label_fake.npz,Fake,Deepfake,0.959562,0.875789,0.976429,0.941256,0.972012,0.989100
fr_2_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962329,0.847334,0.991056,0.955894,0.943725,0.988242
ja_9_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.599137,0.412675,0.975006,0.966438,0.170999,0.222161
zh_18_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.972784,0.948625,0.990443,0.965953,0.938794,0.992206
zh_38_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.976026,0.950331,0.996022,0.964479,0.972786,0.992611
zh_59_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.949434,0.929918,0.478374,0.965763,0.974360,0.991401
en_22_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.911243,0.846414,0.860546,0.957116,0.661188,0.940211
en_112_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.934510,0.875152,0.956745,0.943220,0.909120,0.935870
zh_34_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.951725,0.932071,0.896851,0.927134,0.972294,0.988113
en_45_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.932151,0.894882,0.956581,0.878963,0.985361,0.987167
en_60_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.924858,0.679265,0.906519,0.944199,0.842658,0.961182
en_73_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.897648,0.643996,0.902035,0.936971,0.586138,0.971702
ar_42_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.885572,0.611213,0.925651,0.979795,0.351962,0.950357
ja_42_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.965625,0.883157,0.987154,0.962208,0.925234,0.990263
ru_125_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.930653,0.772097,0.817214,0.914145,0.977116,0.977459
en_89_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.897861,0.737803,0.903367,0.939587,0.467347,0.989297
fr_28_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.904567,0.892071,0.936061,0.824172,0.967841,0.987139
zh_15_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.966054,0.946091,0.997919,0.949136,0.956320,0.988887
fr_47_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.958783,0.824546,0.998440,0.961487,0.964027,0.967320
ru_14_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.955485,0.735659,0.990389,0.958096,0.982718,0.970766
zh_56_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.957464,0.825896,0.948197,0.973475,0.883555,0.978116
ja_10_to_zh_Vall_label_fake.npz,Fake,Real,0.387302,0.761829,0.379472,0.286067,0.587647,0.407836
es_78_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.962377,0.901281,0.980790,0.942931,0.976800,0.989357
en_59_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.945899,0.671748,0.980570,0.963514,0.951325,0.955911
ru_75_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.785370,0.328010,0.992854,0.960347,0.860034,0.574764
ru_84_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.950383,0.740639,0.998763,0.938393,0.968891,0.983562
en_64_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.962241,0.844535,0.969557,0.957619,0.974672,0.980403
fr_27_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.957171,0.899805,0.996323,0.928874,0.975911,0.990802
zh_49_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.960461,0.923255,0.990674,0.935033,0.976986,0.989433
zh_18_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.974968,0.947655,0.914358,0.975679,0.957533,0.991596
zh_102_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.977089,0.926693,0.873580,0.988466,0.963890,0.988220
en_69_label_real.npz,Real,Real,0.097496,0.198401,0.305674,0.098850,0.035897,0.069199
zh_108_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.948494,0.911230,0.370398,0.978517,0.978618,0.989195
es_55_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.969315,0.933852,0.954747,0.957179,0.973539,0.990859
fr_28_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.964080,0.933281,0.979085,0.946638,0.949801,0.992841
en_114_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.943039,0.832365,0.968876,0.917930,0.924271,0.992804
ru_73_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.924670,0.794927,0.974546,0.913582,0.939760,0.946023
en_33_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.946541,0.877049,0.887131,0.928350,0.937330,0.990975
ar_3_label_real.npz,Real,Real,0.163333,0.131977,0.024450,0.331147,0.019453,0.013001
ru_38_to_es_Bark_label_fake.npz,Fake,Deepfake,0.948038,0.759589,0.978542,0.931890,0.953258,0.989872
ar_36_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.954644,0.910864,0.988412,0.939084,0.989606,0.966090
zh_85_to_es_Bark_label_fake.npz,Fake,Deepfake,0.926104,0.865917,0.997496,0.966451,0.978699,0.857601
fr_104_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.972179,0.908249,0.985642,0.970219,0.959937,0.985407
en_49_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.953091,0.899901,0.676187,0.956766,0.982000,0.987264
en_97_label_real.npz,Real,Real,0.032294,0.073623,0.007585,0.056467,0.012653,0.004451
en_76_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.955271,0.926718,0.887995,0.933836,0.982973,0.988606
fr_98_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.960457,0.911854,0.994288,0.962787,0.917620,0.971812
ru_11_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.960867,0.856745,0.997468,0.948867,0.944909,0.990501
es_97_label_real.npz,Real,Real,0.054784,0.075097,0.009399,0.100473,0.033334,0.005752
zh_74_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.962469,0.870270,0.976052,0.954393,0.938859,0.990830
es_107_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.934327,0.787379,0.939174,0.904871,0.951670,0.987543
fr_71_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.943790,0.866308,0.935687,0.932691,0.916303,0.978139
es_109_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.944859,0.799713,0.999359,0.956060,0.963928,0.937958
ar_65_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.890527,0.815063,0.958959,0.824829,0.959120,0.956402
en_51_to_es_Bark_label_fake.npz,Fake,Deepfake,0.971693,0.900912,0.994049,0.959593,0.985194,0.990310
fr_7_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.972157,0.925158,0.991113,0.959089,0.984116,0.989547
en_64_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.958518,0.814139,0.905697,0.954163,0.983133,0.985257
ja_50_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.934514,0.800096,0.922316,0.935055,0.971146,0.944297
zh_39_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.934626,0.952087,0.254648,0.952530,0.983043,0.992419
en_52_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.623586,0.276442,0.978201,0.950912,0.646870,0.195018
en_42_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.917858,0.911266,0.914890,0.848068,0.989432,0.988504
ar_40_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.948636,0.796328,0.965308,0.927966,0.974466,0.987207
zh_24_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.964226,0.926379,0.949958,0.947053,0.974772,0.990736
ar_37_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.894388,0.931823,0.585588,0.829766,0.984138,0.990596
en_61_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.719099,0.839905,0.482513,0.465997,0.970310,0.989280
ru_116_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.963177,0.852134,0.998743,0.951856,0.980412,0.983591
ru_129_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.961536,0.809775,0.995237,0.961065,0.974841,0.975206
es_78_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.969347,0.919649,0.997729,0.954081,0.974848,0.990449
en_18_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.966038,0.928440,0.858788,0.957453,0.984137,0.992597
zh_98_to_en_Bark_label_fake.npz,Fake,Deepfake,0.942115,0.738256,0.927104,0.975935,0.904919,0.940527
ja_54_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.966955,0.937505,0.979077,0.950621,0.978205,0.987216
es_93_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.969174,0.878622,0.983815,0.966049,0.986641,0.979047
ru_6_to_en_Bark_label_fake.npz,Fake,Deepfake,0.959144,0.780373,0.993531,0.956665,0.940050,0.988413
es_69_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.965819,0.924181,0.992445,0.946053,0.978733,0.989686
en_61_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.943164,0.773314,0.725012,0.959362,0.937598,0.979357
en_24_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.960767,0.918218,0.979308,0.948347,0.922545,0.991087
es_56_to_en_Bark_label_fake.npz,Fake,Deepfake,0.964023,0.860345,0.995858,0.958717,0.946790,0.986031
fr_49_label_real.npz,Real,Real,0.041491,0.080216,0.141246,0.044524,0.043634,0.017196
en_18_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.927053,0.898757,0.842246,0.899089,0.983032,0.963170
ru_90_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.962886,0.940076,0.991311,0.946019,0.941296,0.989940
en_13_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.967494,0.924289,0.928505,0.959457,0.973720,0.987789
en_23_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.932932,0.901252,0.567671,0.930217,0.950947,0.987981
zh_28_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.953951,0.902805,0.943468,0.960034,0.855493,0.983064
zh_4_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.965280,0.937132,0.969976,0.956832,0.919377,0.992608
fr_5_to_en_Bark_label_fake.npz,Fake,Deepfake,0.966155,0.778164,0.993651,0.967224,0.981842,0.983226
fr_74_to_en_Bark_label_fake.npz,Fake,Deepfake,0.926181,0.587770,0.990267,0.952567,0.739758,0.984709
en_96_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.928141,0.933396,0.992135,0.868607,0.947671,0.989213
es_76_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.901092,0.648658,0.981907,0.950097,0.922115,0.856596
zh_63_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.962309,0.902751,0.971250,0.939538,0.991594,0.990450
ru_123_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.933129,0.590651,0.984796,0.974780,0.954726,0.914951
en_47_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.966111,0.896145,0.996906,0.947060,0.985250,0.990734
ar_67_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.963878,0.853057,0.965113,0.967891,0.970950,0.972352
es_115_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.967549,0.909940,0.977668,0.950174,0.989850,0.990302
es_112_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.886799,0.362180,0.983823,0.877168,0.921921,0.950233
en_45_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.973219,0.877405,0.996567,0.967333,0.983379,0.988236
zh_93_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.964212,0.881825,0.992154,0.954657,0.951750,0.987836
es_74_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.930585,0.658619,0.967571,0.948468,0.961770,0.932250
ja_37_to_en_Bark_label_fake.npz,Fake,Deepfake,0.949413,0.857682,0.995264,0.914899,0.975384,0.992921
ru_100_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.965001,0.944436,0.914164,0.950329,0.983357,0.988821
es_60_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.983751,0.917027,0.982069,0.987621,0.972322,0.991812
fr_15_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.960396,0.717618,0.948852,0.963280,0.973741,0.989206
zh_113_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.938041,0.717531,0.948593,0.915300,0.988814,0.982767
en_71_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.962230,0.930016,0.992338,0.942211,0.945484,0.993053
en_79_to_es_Bark_label_fake.npz,Fake,Deepfake,0.962944,0.897085,0.838851,0.987293,0.872140,0.984718
zh_43_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.943468,0.750812,0.996662,0.957881,0.987725,0.932216
en_65_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.946622,0.749376,0.977597,0.937795,0.955467,0.979197
fr_107_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.956227,0.899880,0.950683,0.933034,0.975790,0.989298
ru_130_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.912187,0.473308,0.998335,0.950536,0.836532,0.934886
ja_56_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.965435,0.956130,0.960140,0.943978,0.974087,0.992637
zh_109_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.963035,0.919049,0.982655,0.942567,0.981715,0.987494
es_117_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.965406,0.923442,0.998247,0.952161,0.946204,0.989225
es_112_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.963391,0.739943,0.998247,0.965792,0.960513,0.988067
zh_37_to_en_Vall_label_fake.npz,Fake,Deepfake,0.707467,0.947923,0.129830,0.473360,0.954964,0.985918
zh_119_to_en_Bark_label_fake.npz,Fake,Deepfake,0.860272,0.590193,0.910021,0.789358,0.981103,0.948401
en_84_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.904926,0.774918,0.803260,0.910500,0.946758,0.918903
zh_24_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.968927,0.916822,0.955765,0.955071,0.990501,0.989902
es_55_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.962000,0.934080,0.862177,0.949597,0.978327,0.991531
en_44_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.963141,0.874489,0.939712,0.953191,0.985844,0.985458
en_31_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.944415,0.828535,0.993416,0.921662,0.953329,0.980676
zh_40_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.969765,0.930881,0.991237,0.954969,0.977028,0.989200
ar_56_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.967989,0.833657,0.995883,0.973704,0.966726,0.976206
es_57_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.931047,0.887598,0.226915,0.963540,0.965974,0.986088
ja_45_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.971945,0.929440,0.970796,0.959710,0.976264,0.992677
fr_117_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.928569,0.468606,0.990405,0.967583,0.961092,0.925991
en_114_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.959932,0.859694,0.991303,0.946491,0.940422,0.992625
en_117_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.797242,0.422338,0.984287,0.961228,0.693150,0.642980
ru_49_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.960676,0.888269,0.992080,0.949019,0.961288,0.981346
en_50_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.974974,0.903967,0.958424,0.971127,0.984635,0.989669
es_78_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.908191,0.908875,0.459401,0.880792,0.971168,0.989440
ar_42_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.959867,0.861074,0.996331,0.948319,0.953117,0.985547
es_66_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.919116,0.828963,0.900629,0.909443,0.962783,0.934596
zh_91_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.963130,0.851661,0.986260,0.949648,0.981190,0.987925
en_118_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.958276,0.921281,0.989765,0.940515,0.948307,0.984747
zh_70_label_real.npz,Real,Real,0.123572,0.558368,0.030051,0.173427,0.054342,0.030498
es_102_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.962509,0.880393,0.954825,0.951316,0.964475,0.989167
ru_128_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.949225,0.785157,0.980430,0.945892,0.976186,0.964788
en_94_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.861072,0.927860,0.524819,0.765805,0.976553,0.989058
es_63_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.971034,0.935927,0.931800,0.961557,0.978394,0.991735
en_106_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.951429,0.948213,0.930370,0.914856,0.987844,0.991514
zh_78_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.974822,0.940633,0.978889,0.964713,0.981368,0.990253
ru_135_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.902222,0.914926,0.094788,0.901103,0.992278,0.991464
zh_83_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.977071,0.938535,0.963973,0.968871,0.990139,0.991255
en_66_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.885631,0.791000,0.364921,0.863456,0.957264,0.981581
ja_31_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.956321,0.755911,0.988137,0.942933,0.984731,0.989503
ru_87_to_en_Bark_label_fake.npz,Fake,Deepfake,0.963085,0.865555,0.996233,0.947026,0.983961,0.986965
ru_38_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.969835,0.823931,0.989654,0.966957,0.969381,0.991677
ru_41_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962389,0.893952,0.990248,0.963269,0.982253,0.961379
fr_32_to_en_Bark_label_fake.npz,Fake,Deepfake,0.959781,0.905453,0.995720,0.959163,0.923124,0.973675
zh_5_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.926429,0.932442,0.376362,0.933652,0.932870,0.993025
ar_23_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.928049,0.869907,0.855737,0.896721,0.926842,0.987310
ja_42_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.957540,0.707112,0.994779,0.965301,0.951144,0.979845
ar_7_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.950438,0.859387,0.987030,0.952526,0.974524,0.948652
es_45_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.958036,0.927151,0.999441,0.930822,0.968745,0.988462
ru_98_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.963104,0.945754,0.897003,0.953048,0.974955,0.984570
en_88_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.909520,0.702726,0.900776,0.956176,0.925304,0.875814
zh_44_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.975518,0.901833,0.964294,0.977380,0.958186,0.990207
en_86_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.909967,0.750047,0.988455,0.961677,0.963963,0.839688
es_66_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.949274,0.911775,0.807671,0.927552,0.990016,0.991147
es_113_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.848942,0.635253,0.999550,0.972986,0.842131,0.700414
