split,filepath,ground_truth,score
val,es_104_to_en_Tacotron_label_fake.npz,Fake,0.925937
val,es_106_label_real.npz,Real,0.056665
val,es_106_to_zh_MicroTts_label_fake.npz,Fake,0.951955
val,es_107_to_fr_Tacotron_label_fake.npz,Fake,0.947509
val,es_111_to_en_Bark_label_fake.npz,Fake,0.214515
val,es_112_label_real.npz,Real,0.039631
val,es_113_to_ja_Tacotron_label_fake.npz,Fake,0.614592
val,es_118_to_zh_MicroTts_label_fake.npz,Fake,0.960208
val,es_15_to_ar_Xtts_label_fake.npz,Fake,0.922139
val,es_16_label_real.npz,Real,0.042168
val,es_1_label_real.npz,Real,0.060613
val,es_20_label_real.npz,Real,0.041943
val,es_21_to_fr_MicroTts_label_fake.npz,Fake,0.952295
val,es_22_label_real.npz,Real,0.053358
val,es_22_to_zh_Xtts_label_fake.npz,Fake,0.957079
val,es_24_label_real.npz,Real,0.232018
val,es_26_label_real.npz,Real,0.035292
val,es_30_to_zh_Xtts_label_fake.npz,Fake,0.969552
val,es_36_to_ar_Xtts_label_fake.npz,Fake,0.947510
val,es_36_to_fr_Xtts_label_fake.npz,Fake,0.912770
val,es_38_to_en_MicroTts_label_fake.npz,Fake,0.923640
val,es_38_to_en_Tacotron_label_fake.npz,Fake,0.963888
val,es_42_label_real.npz,Real,0.036453
val,es_45_to_ar_MicroTts_label_fake.npz,Fake,0.958108
val,es_51_label_real.npz,Real,0.042119
val,es_53_label_real.npz,Real,0.044858
val,es_53_to_ar_Xtts_label_fake.npz,Fake,0.268300
val,es_55_label_real.npz,Real,0.047275
val,es_61_label_real.npz,Real,0.045785
val,es_61_to_en_Xtts_label_fake.npz,Fake,0.928111
val,es_67_to_ar_MicroTts_label_fake.npz,Fake,0.943882
val,es_77_label_real.npz,Real,0.038616
val,es_78_label_real.npz,Real,0.043708
val,es_89_label_real.npz,Real,0.053508
val,es_8_label_real.npz,Real,0.042326
val,es_90_label_real.npz,Real,0.042776
val,es_93_to_en_Xtts_label_fake.npz,Fake,0.935665
val,es_94_to_en_Xtts_label_fake.npz,Fake,0.947337
val,es_99_to_ar_MicroTts_label_fake.npz,Fake,0.897413
val,es_9_to_fr_Bark_label_fake.npz,Fake,0.937038
val,fr_106_label_real.npz,Real,0.038823
val,fr_108_to_ar_Xtts_label_fake.npz,Fake,0.951844
val,fr_109_to_es_MicroTts_label_fake.npz,Fake,0.180894
val,fr_111_to_en_Bark_label_fake.npz,Fake,0.859597
val,fr_111_to_ja_Tacotron_label_fake.npz,Fake,0.875204
val,fr_120_label_real.npz,Real,0.290815
val,fr_12_label_real.npz,Real,0.071147
val,fr_12_to_ja_Bark_label_fake.npz,Fake,0.940884
val,fr_14_to_es_Tacotron_label_fake.npz,Fake,0.949989
val,fr_17_label_real.npz,Real,0.039515
val,fr_18_label_real.npz,Real,0.050717
val,fr_19_label_real.npz,Real,0.050288
val,fr_22_label_real.npz,Real,0.044371
val,fr_26_label_real.npz,Real,0.107503
val,fr_28_label_real.npz,Real,0.044979
val,fr_30_to_en_MicroTts_label_fake.npz,Fake,0.935369
val,fr_37_to_ja_Bark_label_fake.npz,Fake,0.713176
val,fr_47_to_ru_MicroTts_label_fake.npz,Fake,0.955075
val,fr_48_label_real.npz,Real,0.046098
val,fr_4_to_ru_MicroTts_label_fake.npz,Fake,0.957740
val,fr_52_label_real.npz,Real,0.028550
val,fr_56_label_real.npz,Real,0.040400
val,fr_57_to_zh_Bark_label_fake.npz,Fake,0.969667
val,fr_58_label_real.npz,Real,0.058522
val,fr_62_to_es_MicroTts_label_fake.npz,Fake,0.947537
val,fr_63_to_en_Tacotron_label_fake.npz,Fake,0.938864
val,fr_64_label_real.npz,Real,0.038784
val,fr_66_label_real.npz,Real,0.037732
val,fr_68_to_ar_MicroTts_label_fake.npz,Fake,0.938320
val,fr_6_label_real.npz,Real,0.048553
val,fr_70_label_real.npz,Real,0.054930
val,fr_70_to_ja_Bark_label_fake.npz,Fake,0.908716
val,fr_77_label_real.npz,Real,0.170755
val,fr_77_to_ja_Tacotron_label_fake.npz,Fake,0.935194
val,fr_83_to_zh_Xtts_label_fake.npz,Fake,0.942996
val,fr_87_label_real.npz,Real,0.048625
val,fr_91_to_ja_Tacotron_label_fake.npz,Fake,0.953061
val,ja_18_to_zh_Bark_label_fake.npz,Fake,0.945807
val,ja_20_to_es_MicroTts_label_fake.npz,Fake,0.951374
val,ja_22_label_real.npz,Real,0.040157
val,ja_26_label_real.npz,Real,0.060160
val,ja_38_to_ar_MicroTts_label_fake.npz,Fake,0.953874
val,ja_38_to_en_Bark_label_fake.npz,Fake,0.950004
val,ja_38_to_ru_Bark_label_fake.npz,Fake,0.947762
val,ja_40_label_real.npz,Real,0.040408
val,ja_4_label_real.npz,Real,0.055544
val,ja_50_to_en_Bark_label_fake.npz,Fake,0.943940
val,ja_55_label_real.npz,Real,0.050616
val,ja_57_to_zh_Vall_label_fake.npz,Fake,0.949004
val,ja_58_label_real.npz,Real,0.038436
val,ja_5_label_real.npz,Real,0.060083
val,ja_7_label_real.npz,Real,0.060626
val,ja_7_to_es_Bark_label_fake.npz,Fake,0.954340
val,ja_9_label_real.npz,Real,0.040709
val,ru_106_to_en_Xtts_label_fake.npz,Fake,0.924128
val,ru_107_to_ar_MicroTts_label_fake.npz,Fake,0.939242
val,ru_108_label_real.npz,Real,0.036548
val,ru_108_to_ar_MicroTts_label_fake.npz,Fake,0.953470
val,ru_10_label_real.npz,Real,0.052012
val,ru_118_to_zh_Xtts_label_fake.npz,Fake,0.951124
val,ru_119_to_zh_Bark_label_fake.npz,Fake,0.949459
val,ru_124_label_real.npz,Real,0.043281
val,ru_13_label_real.npz,Real,0.048594
val,ru_18_label_real.npz,Real,0.026396
val,ru_20_label_real.npz,Real,0.032938
val,ru_20_to_zh_Xtts_label_fake.npz,Fake,0.928683
val,ru_24_label_real.npz,Real,0.044396
val,ru_31_label_real.npz,Real,0.050937
val,ru_36_to_es_MicroTts_label_fake.npz,Fake,0.475973
val,ru_37_to_fr_Bark_label_fake.npz,Fake,0.694639
val,ru_37_to_fr_MicroTts_label_fake.npz,Fake,0.897714
val,ru_43_to_es_Xtts_label_fake.npz,Fake,0.948504
val,ru_43_to_zh_Xtts_label_fake.npz,Fake,0.945811
val,ru_44_label_real.npz,Real,0.033976
val,ru_44_to_zh_MicroTts_label_fake.npz,Fake,0.950592
val,ru_45_label_real.npz,Real,0.247990
val,ru_51_to_es_Xtts_label_fake.npz,Fake,0.951860
val,ru_52_label_real.npz,Real,0.058435
val,ru_54_label_real.npz,Real,0.041900
val,ru_56_label_real.npz,Real,0.049908
val,ru_61_label_real.npz,Real,0.044424
val,ru_66_label_real.npz,Real,0.059557
val,ru_69_to_en_MicroTts_label_fake.npz,Fake,0.930736
val,ru_6_label_real.npz,Real,0.043933
val,ru_6_to_zh_Xtts_label_fake.npz,Fake,0.709969
val,ru_72_to_zh_Xtts_label_fake.npz,Fake,0.960370
val,ru_75_label_real.npz,Real,0.252389
val,ru_76_label_real.npz,Real,0.252390
val,ru_84_label_real.npz,Real,0.055773
val,ru_85_to_es_MicroTts_label_fake.npz,Fake,0.908698
val,ru_90_label_real.npz,Real,0.132560
val,ru_98_label_real.npz,Real,0.043599
val,ru_99_to_ar_Xtts_label_fake.npz,Fake,0.951908
val,zh_103_to_en_Xtts_label_fake.npz,Fake,0.961041
val,zh_103_to_fr_MicroTts_label_fake.npz,Fake,0.937505
val,zh_104_to_ja_Bark_label_fake.npz,Fake,0.946383
val,zh_105_label_real.npz,Real,0.050306
val,zh_106_to_en_Tacotron_label_fake.npz,Fake,0.940143
val,zh_111_to_en_Vall_label_fake.npz,Fake,0.935536
val,zh_112_to_ar_Xtts_label_fake.npz,Fake,0.938270
val,zh_115_label_real.npz,Real,0.039508
val,zh_11_label_real.npz,Real,0.037607
val,zh_121_to_en_MicroTts_label_fake.npz,Fake,0.952301
val,zh_128_label_real.npz,Real,0.058725
val,zh_16_to_es_Bark_label_fake.npz,Fake,0.951949
val,zh_20_label_real.npz,Real,0.035167
val,zh_20_to_ru_Bark_label_fake.npz,Fake,0.971606
val,zh_22_to_fr_MicroTts_label_fake.npz,Fake,0.958346
val,zh_29_label_real.npz,Real,0.050045
val,zh_2_label_real.npz,Real,0.039712
val,zh_32_to_en_Vall_label_fake.npz,Fake,0.969027
val,zh_34_label_real.npz,Real,0.038243
val,zh_37_to_ru_MicroTts_label_fake.npz,Fake,0.967382
val,zh_39_to_ru_MicroTts_label_fake.npz,Fake,0.969051
val,zh_3_to_ar_MicroTts_label_fake.npz,Fake,0.964392
val,zh_3_to_en_Vall_label_fake.npz,Fake,0.948197
val,zh_42_to_en_Xtts_label_fake.npz,Fake,0.940219
val,zh_43_to_ru_MicroTts_label_fake.npz,Fake,0.929597
val,zh_46_to_fr_Tacotron_label_fake.npz,Fake,0.944540
val,zh_48_label_real.npz,Real,0.041119
val,zh_50_label_real.npz,Real,0.039529
val,zh_52_label_real.npz,Real,0.043732
val,zh_79_to_ar_Xtts_label_fake.npz,Fake,0.953056
val,zh_80_label_real.npz,Real,0.046345
val,zh_80_to_en_Bark_label_fake.npz,Fake,0.955019
val,zh_80_to_en_MicroTts_label_fake.npz,Fake,0.953240
val,zh_80_to_fr_Tacotron_label_fake.npz,Fake,0.950343
val,zh_87_to_en_Bark_label_fake.npz,Fake,0.967706
val,zh_88_label_real.npz,Real,0.036677
val,zh_89_label_real.npz,Real,0.026373
val,zh_91_label_real.npz,Real,0.057961
val,zh_92_label_real.npz,Real,0.050671
val,zh_94_label_real.npz,Real,0.041556
val,zh_95_label_real.npz,Real,0.075944
val,zh_96_label_real.npz,Real,0.041555
val,zh_96_to_en_Vall_label_fake.npz,Fake,0.042594
val,zh_9_label_real.npz,Real,0.034895
test,ar_13_label_real.npz,Real,0.058787
test,ar_16_to_fr_Xtts_label_fake.npz,Fake,0.943408
test,ar_19_label_real.npz,Real,0.049499
test,ar_19_to_es_MicroTts_label_fake.npz,Fake,0.904001
test,ar_19_to_zh_MicroTts_label_fake.npz,Fake,0.943301
test,ar_1_label_real.npz,Real,0.073426
test,ar_20_label_real.npz,Real,0.045340
test,ar_20_to_ru_Xtts_label_fake.npz,Fake,0.824287
test,ar_21_to_es_Xtts_label_fake.npz,Fake,0.931492
test,ar_23_to_en_Xtts_label_fake.npz,Fake,0.929845
test,ar_23_to_es_Xtts_label_fake.npz,Fake,0.917435
test,ar_23_to_fr_Xtts_label_fake.npz,Fake,0.920521
test,ar_23_to_ru_Xtts_label_fake.npz,Fake,0.908811
test,ar_23_to_zh_Xtts_label_fake.npz,Fake,0.948658
test,ar_24_to_ru_MicroTts_label_fake.npz,Fake,0.938804
test,ar_25_to_ru_MicroTts_label_fake.npz,Fake,0.944307
test,ar_26_label_real.npz,Real,0.041437
test,ar_30_to_en_MicroTts_label_fake.npz,Fake,0.948988
test,ar_30_to_es_Xtts_label_fake.npz,Fake,0.956733
test,ar_30_to_fr_MicroTts_label_fake.npz,Fake,0.949447
test,ar_30_to_ru_MicroTts_label_fake.npz,Fake,0.952194
test,ar_30_to_zh_MicroTts_label_fake.npz,Fake,0.957093
test,ar_32_to_en_MicroTts_label_fake.npz,Fake,0.954906
test,ar_32_to_en_Xtts_label_fake.npz,Fake,0.950524
test,ar_32_to_es_Xtts_label_fake.npz,Fake,0.949445
test,ar_32_to_fr_MicroTts_label_fake.npz,Fake,0.951018
test,ar_32_to_ru_Xtts_label_fake.npz,Fake,0.959896
test,ar_32_to_zh_MicroTts_label_fake.npz,Fake,0.958521
test,ar_32_to_zh_Xtts_label_fake.npz,Fake,0.960587
test,ar_33_to_en_Xtts_label_fake.npz,Fake,0.942407
test,ar_33_to_fr_Xtts_label_fake.npz,Fake,0.950044
test,ar_33_to_zh_Xtts_label_fake.npz,Fake,0.960674
test,ar_34_to_es_MicroTts_label_fake.npz,Fake,0.928303
test,ar_36_to_en_MicroTts_label_fake.npz,Fake,0.914363
test,ar_36_to_es_Xtts_label_fake.npz,Fake,0.901737
test,ar_36_to_fr_MicroTts_label_fake.npz,Fake,0.906821
test,ar_36_to_ja_MicroTts_label_fake.npz,Fake,0.876797
test,ar_36_to_zh_MicroTts_label_fake.npz,Fake,0.951673
test,ar_37_to_ru_Xtts_label_fake.npz,Fake,0.966234
test,ar_38_label_real.npz,Real,0.040547
test,ar_3_label_real.npz,Real,0.046969
test,ar_3_to_fr_Xtts_label_fake.npz,Fake,0.885369
test,ar_3_to_ru_Xtts_label_fake.npz,Fake,0.920666
test,ar_40_to_en_Xtts_label_fake.npz,Fake,0.953332
test,ar_40_to_es_MicroTts_label_fake.npz,Fake,0.958799
test,ar_40_to_fr_Xtts_label_fake.npz,Fake,0.961740
test,ar_40_to_ru_Xtts_label_fake.npz,Fake,0.956362
test,ar_40_to_zh_Xtts_label_fake.npz,Fake,0.942895
test,ar_41_to_en_Xtts_label_fake.npz,Fake,0.947231
test,ar_41_to_es_MicroTts_label_fake.npz,Fake,0.940834
test,ar_41_to_fr_Xtts_label_fake.npz,Fake,0.932247
test,ar_41_to_ru_Xtts_label_fake.npz,Fake,0.949837
test,ar_41_to_zh_Xtts_label_fake.npz,Fake,0.948911
test,ar_42_to_en_MicroTts_label_fake.npz,Fake,0.949001
test,ar_42_to_es_MicroTts_label_fake.npz,Fake,0.590084
test,ar_42_to_es_Xtts_label_fake.npz,Fake,0.821606
test,ar_42_to_fr_MicroTts_label_fake.npz,Fake,0.954806
test,ar_42_to_ja_MicroTts_label_fake.npz,Fake,0.267664
test,ar_42_to_ru_MicroTts_label_fake.npz,Fake,0.929617
test,ar_42_to_zh_MicroTts_label_fake.npz,Fake,0.943022
test,ar_43_to_en_Xtts_label_fake.npz,Fake,0.893935
test,ar_43_to_fr_Xtts_label_fake.npz,Fake,0.922565
test,ar_43_to_zh_Xtts_label_fake.npz,Fake,0.924580
test,ar_44_to_es_MicroTts_label_fake.npz,Fake,0.913763
test,ar_44_to_ru_MicroTts_label_fake.npz,Fake,0.926845
test,ar_45_to_ru_Xtts_label_fake.npz,Fake,0.058344
test,ar_45_to_zh_MicroTts_label_fake.npz,Fake,0.601719
test,ar_46_to_ja_MicroTts_label_fake.npz,Fake,0.950420
test,ar_46_to_ru_Xtts_label_fake.npz,Fake,0.928100
test,ar_47_to_ja_MicroTts_label_fake.npz,Fake,0.962772
test,ar_49_to_en_MicroTts_label_fake.npz,Fake,0.216504
test,ar_49_to_zh_MicroTts_label_fake.npz,Fake,0.216504
test,ar_4_label_real.npz,Real,0.052886
test,ar_51_label_real.npz,Real,0.031428
test,ar_54_label_real.npz,Real,0.718399
test,ar_54_to_en_MicroTts_label_fake.npz,Fake,0.955402
test,ar_54_to_es_Xtts_label_fake.npz,Fake,0.958497
test,ar_54_to_fr_MicroTts_label_fake.npz,Fake,0.964262
test,ar_54_to_zh_MicroTts_label_fake.npz,Fake,0.963748
test,ar_55_to_fr_Xtts_label_fake.npz,Fake,0.952398
test,ar_56_to_en_MicroTts_label_fake.npz,Fake,0.962715
test,ar_56_to_es_MicroTts_label_fake.npz,Fake,0.969205
test,ar_56_to_es_Xtts_label_fake.npz,Fake,0.976856
test,ar_56_to_fr_MicroTts_label_fake.npz,Fake,0.957441
test,ar_56_to_ru_MicroTts_label_fake.npz,Fake,0.955115
test,ar_56_to_zh_MicroTts_label_fake.npz,Fake,0.972688
test,ar_59_to_ja_MicroTts_label_fake.npz,Fake,0.956792
test,ar_5_to_en_Xtts_label_fake.npz,Fake,0.844601
test,ar_5_to_fr_Xtts_label_fake.npz,Fake,0.865660
test,ar_5_to_zh_Xtts_label_fake.npz,Fake,0.947030
test,ar_60_to_en_Xtts_label_fake.npz,Fake,0.943013
test,ar_60_to_es_MicroTts_label_fake.npz,Fake,0.940523
test,ar_60_to_fr_Xtts_label_fake.npz,Fake,0.958771
test,ar_60_to_ja_MicroTts_label_fake.npz,Fake,0.948006
test,ar_60_to_ru_MicroTts_label_fake.npz,Fake,0.959976
test,ar_60_to_zh_Xtts_label_fake.npz,Fake,0.953645
test,ar_61_to_es_MicroTts_label_fake.npz,Fake,0.942293
test,ar_61_to_ru_MicroTts_label_fake.npz,Fake,0.942906
test,ar_63_to_ru_MicroTts_label_fake.npz,Fake,0.948684
test,ar_64_to_ja_MicroTts_label_fake.npz,Fake,0.965475
test,ar_65_to_es_Xtts_label_fake.npz,Fake,0.957360
test,ar_65_to_fr_MicroTts_label_fake.npz,Fake,0.961084
test,ar_66_to_ja_MicroTts_label_fake.npz,Fake,0.959604
test,ar_67_to_en_MicroTts_label_fake.npz,Fake,0.917955
test,ar_67_to_es_Xtts_label_fake.npz,Fake,0.967407
test,ar_67_to_fr_MicroTts_label_fake.npz,Fake,0.933942
test,ar_67_to_ru_MicroTts_label_fake.npz,Fake,0.918662
test,ar_67_to_ru_Xtts_label_fake.npz,Fake,0.928339
test,ar_67_to_zh_MicroTts_label_fake.npz,Fake,0.925789
test,ar_68_to_ja_MicroTts_label_fake.npz,Fake,0.956254
test,ar_69_to_es_Xtts_label_fake.npz,Fake,0.950166
test,ar_69_to_fr_MicroTts_label_fake.npz,Fake,0.933430
test,ar_6_label_real.npz,Real,0.078519
test,ar_71_to_en_MicroTts_label_fake.npz,Fake,0.956662
test,ar_71_to_es_Xtts_label_fake.npz,Fake,0.961710
test,ar_71_to_fr_MicroTts_label_fake.npz,Fake,0.953361
test,ar_71_to_fr_Xtts_label_fake.npz,Fake,0.930968
test,ar_71_to_zh_MicroTts_label_fake.npz,Fake,0.945465
test,ar_7_to_es_MicroTts_label_fake.npz,Fake,0.974267
test,ar_7_to_ru_MicroTts_label_fake.npz,Fake,0.963425
test,en_100_to_ja_MicroTts_label_fake.npz,Fake,0.951010
test,en_101_to_zh_Tacotron_label_fake.npz,Fake,0.950381
test,en_102_label_real.npz,Real,0.058327
test,en_102_to_ja_Bark_label_fake.npz,Fake,0.956521
test,en_102_to_ja_Vall_label_fake.npz,Fake,0.939256
test,en_103_to_zh_Bark_label_fake.npz,Fake,0.938773
test,en_104_to_ja_Tacotron_label_fake.npz,Fake,0.901668
test,en_105_to_es_Tacotron_label_fake.npz,Fake,0.455582
test,en_106_to_es_Xtts_label_fake.npz,Fake,0.962847
test,en_106_to_fr_Tacotron_label_fake.npz,Fake,0.963532
test,en_106_to_ja_Bark_label_fake.npz,Fake,0.961716
test,en_106_to_ja_Tacotron_label_fake.npz,Fake,0.944967
test,en_106_to_zh_MicroTts_label_fake.npz,Fake,0.951826
test,en_107_to_ja_Tacotron_label_fake.npz,Fake,0.945215
test,en_107_to_ru_Bark_label_fake.npz,Fake,0.947801
test,en_107_to_zh_Tacotron_label_fake.npz,Fake,0.958503
test,en_108_to_es_MicroTts_label_fake.npz,Fake,0.962387
test,en_109_to_es_Tacotron_label_fake.npz,Fake,0.951351
test,en_109_to_fr_MicroTts_label_fake.npz,Fake,0.947812
test,en_109_to_ja_Bark_label_fake.npz,Fake,0.932198
test,en_109_to_ru_Bark_label_fake.npz,Fake,0.933208
test,en_109_to_zh_MicroTts_label_fake.npz,Fake,0.945042
test,en_10_to_es_Xtts_label_fake.npz,Fake,0.959931
test,en_10_to_fr_Tacotron_label_fake.npz,Fake,0.959432
test,en_10_to_fr_Xtts_label_fake.npz,Fake,0.957269
test,en_10_to_ru_Xtts_label_fake.npz,Fake,0.965716
test,en_10_to_zh_Xtts_label_fake.npz,Fake,0.961018
test,en_110_to_es_Bark_label_fake.npz,Fake,0.960371
test,en_110_to_es_Xtts_label_fake.npz,Fake,0.942660
test,en_110_to_fr_Tacotron_label_fake.npz,Fake,0.963233
test,en_110_to_zh_Tacotron_label_fake.npz,Fake,0.957686
test,en_111_to_ar_MicroTts_label_fake.npz,Fake,0.969696
test,en_111_to_es_Xtts_label_fake.npz,Fake,0.958730
test,en_111_to_fr_Tacotron_label_fake.npz,Fake,0.945063
test,en_112_to_es_Xtts_label_fake.npz,Fake,0.959726
test,en_112_to_fr_Tacotron_label_fake.npz,Fake,0.959008
test,en_112_to_ja_Bark_label_fake.npz,Fake,0.951057
test,en_112_to_zh_MicroTts_label_fake.npz,Fake,0.944529
test,en_112_to_zh_Vall_label_fake.npz,Fake,0.958396
test,en_112_to_zh_Xtts_label_fake.npz,Fake,0.955632
test,en_113_to_ru_Xtts_label_fake.npz,Fake,0.956845
test,en_113_to_zh_Bark_label_fake.npz,Fake,0.951347
test,en_114_to_ar_MicroTts_label_fake.npz,Fake,0.968882
test,en_114_to_ru_Xtts_label_fake.npz,Fake,0.967995
test,en_114_to_zh_MicroTts_label_fake.npz,Fake,0.909796
test,en_114_to_zh_Vall_label_fake.npz,Fake,0.942657
test,en_115_to_ar_MicroTts_label_fake.npz,Fake,0.393077
test,en_115_to_ar_Xtts_label_fake.npz,Fake,0.869007
test,en_115_to_ja_MicroTts_label_fake.npz,Fake,0.888875
test,en_115_to_ja_Vall_label_fake.npz,Fake,0.909793
test,en_116_label_real.npz,Real,0.037969
test,en_116_to_es_Tacotron_label_fake.npz,Fake,0.927804
test,en_116_to_es_Xtts_label_fake.npz,Fake,0.936389
test,en_116_to_fr_Bark_label_fake.npz,Fake,0.928464
test,en_116_to_fr_MicroTts_label_fake.npz,Fake,0.924469
test,en_116_to_fr_Tacotron_label_fake.npz,Fake,0.891379
test,en_116_to_zh_Tacotron_label_fake.npz,Fake,0.913100
test,en_117_to_ru_MicroTts_label_fake.npz,Fake,0.242606
test,en_118_to_es_MicroTts_label_fake.npz,Fake,0.958425
test,en_118_to_es_Tacotron_label_fake.npz,Fake,0.958420
test,en_118_to_fr_Bark_label_fake.npz,Fake,0.956888
test,en_118_to_fr_Tacotron_label_fake.npz,Fake,0.955170
test,en_118_to_ja_MicroTts_label_fake.npz,Fake,0.957826
test,en_118_to_zh_Bark_label_fake.npz,Fake,0.962667
test,en_118_to_zh_Tacotron_label_fake.npz,Fake,0.967306
test,en_118_to_zh_Vall_label_fake.npz,Fake,0.967827
test,en_119_to_ja_Vall_label_fake.npz,Fake,0.964651
test,en_119_to_ru_Xtts_label_fake.npz,Fake,0.958988
test,en_11_to_zh_Bark_label_fake.npz,Fake,0.959814
test,en_11_to_zh_Xtts_label_fake.npz,Fake,0.962853
test,en_120_to_ar_MicroTts_label_fake.npz,Fake,0.960356
test,en_120_to_ar_Xtts_label_fake.npz,Fake,0.957596
test,en_120_to_es_MicroTts_label_fake.npz,Fake,0.968325
test,en_120_to_es_Xtts_label_fake.npz,Fake,0.966916
test,en_120_to_fr_Bark_label_fake.npz,Fake,0.964857
test,en_120_to_fr_MicroTts_label_fake.npz,Fake,0.957053
test,en_120_to_fr_Xtts_label_fake.npz,Fake,0.967655
test,en_120_to_zh_Bark_label_fake.npz,Fake,0.953860
test,en_120_to_zh_Tacotron_label_fake.npz,Fake,0.968233
test,en_121_to_es_MicroTts_label_fake.npz,Fake,0.940166
test,en_121_to_fr_Xtts_label_fake.npz,Fake,0.954576
test,en_121_to_ru_Bark_label_fake.npz,Fake,0.953929
test,en_121_to_ru_Xtts_label_fake.npz,Fake,0.950726
test,en_121_to_zh_Tacotron_label_fake.npz,Fake,0.948453
test,en_122_label_real.npz,Real,0.237457
test,en_122_to_es_Xtts_label_fake.npz,Fake,0.957446
test,en_122_to_fr_MicroTts_label_fake.npz,Fake,0.957467
test,en_122_to_fr_Tacotron_label_fake.npz,Fake,0.962032
test,en_123_label_real.npz,Real,0.233087
test,en_123_to_ar_MicroTts_label_fake.npz,Fake,0.959409
test,en_123_to_es_Bark_label_fake.npz,Fake,0.951023
test,en_124_to_ar_MicroTts_label_fake.npz,Fake,0.867259
test,en_124_to_es_Xtts_label_fake.npz,Fake,0.937367
test,en_124_to_fr_MicroTts_label_fake.npz,Fake,0.767683
test,en_124_to_ru_MicroTts_label_fake.npz,Fake,0.735408
test,en_125_to_es_Xtts_label_fake.npz,Fake,0.926598
test,en_125_to_fr_MicroTts_label_fake.npz,Fake,0.922195
test,en_125_to_zh_Tacotron_label_fake.npz,Fake,0.934020
test,en_126_to_es_Tacotron_label_fake.npz,Fake,0.919350
test,en_126_to_fr_Bark_label_fake.npz,Fake,0.935579
test,en_126_to_zh_Bark_label_fake.npz,Fake,0.945077
test,en_127_label_real.npz,Real,0.054250
test,en_127_to_ar_Xtts_label_fake.npz,Fake,0.971306
test,en_127_to_es_Xtts_label_fake.npz,Fake,0.958542
test,en_127_to_fr_MicroTts_label_fake.npz,Fake,0.965552
