filepath,ground_truth,system_verdict,final_score,phase,consensus_rate,analysis_time,score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality),score_Visual (Spatial)
Jerusalem shooting： Six killed by Palestinian gunmen ｜ BBC News_8Xeh7TVPp-M_seq004_label_real.npz,Real,Real,0.3459498468786478,iterative,0.6,1.3630404472351074,0.05134620517492294,0.0,0.9215686321258545,0.008116170763969421,0.5311626195907593
How to Make AI Music and a Virtual Band in Under 10 Minutes_cT9Uw2jzMUc_seq003_label_fake.npz,Fake,Real,0.44500280618667604,iterative,0.6,1.3397817611694336,0.009346136823296547,0.94091796875,0.011202448979020119,0.9836758971214294,0.2794075012207031
Israel intensifies strikes on Gaza City ｜ BBC News_AEu6wVp_Edw_seq000_label_real.npz,Real,Real,0.2697388994158246,iterative,0.8,1.3287012577056885,0.0021614672150462866,0.0,0.9698707461357117,0.024491658434271812,0.1102433055639267
At least 13 dead in Nepal after protests against social media ban ｜ BBC News__dSRnKy10lA_seq000_label_real.npz,Real,Real,0.30654772827401755,iterative,0.8,1.350348711013794,0.01799803040921688,0.0,0.4925142526626587,0.8063635230064392,0.09723377972841263
We STOLE MrBeast’s Secret Growth Hack… and THIS Happened_pxPzCFM0qE4_seq003_label_fake.npz,Fake,Deepfake,0.45816036814358085,iterative,0.6,1.3644869327545166,0.0024078921414911747,1.0,0.16036206483840942,0.987043559551239,0.1014997810125351
French government collapses as MPs vote to oust prime minister ｜ BBC News_n-jo7tfhsvQ_seq001_label_real.npz,Real,Deepfake,0.46580584011971954,iterative,0.6,1.4046339988708496,0.40900853276252747,0.0,0.9473901987075806,0.0181086715310812,0.819926381111145
How to Make AI Music and a Virtual Band in Under 10 Minutes_cT9Uw2jzMUc_seq004_label_fake.npz,Fake,Deepfake,0.499539963719144,iterative,0.6,1.3340754508972168,0.00046915377606637776,0.99755859375,0.020169617608189583,0.9873567819595337,0.48722055554389954
"Create AI Videos & Images in HeyGen with Veo3, Runway Gen-4, Kling & More! (Step-by-Step)_mZcridN9hq0_seq000_label_fake.npz",Fake,Deepfake,0.6349381655454636,iterative,0.6,1.3298859596252441,0.07544690370559692,0.0,0.988394021987915,0.9859609603881836,0.8966521620750427
We STOLE MrBeast’s Secret Growth Hack… and THIS Happened_pxPzCFM0qE4_seq004_label_fake.npz,Fake,Real,0.21656017396599056,iterative,0.8,1.3380510807037354,0.044861629605293274,0.029083251953125,0.018288899213075638,0.9131985306739807,0.0840117409825325
How to Go VIRAL on Social Media Using AI_nDZQKKpAbWo_seq001_label_fake.npz,Fake,Deepfake,0.9824084242184957,quick,0.6,0,,0.998046875,0.9746822714805603,0.9744961261749268,
We Created the World's Most Realistic Digital Twin_m0fdgkJGxHs_seq002_label_fake.npz,Fake,Real,0.3824939033016562,iterative,0.6,1.3652594089508057,0.6870086789131165,0.0386962890625,0.9976580142974854,0.007605689577758312,0.10383851081132889
Prince Harry lays wreath in memory of late Queen ｜ BBC News_lGO9j_x8gp0_seq004_label_real.npz,Real,Real,0.01415789887929956,quick,0.8,0,,1.9073486328125e-05,0.03531844541430473,0.007136177737265825,
Jerusalem shooting： Six killed by Palestinian gunmen ｜ BBC News_8Xeh7TVPp-M_seq001_label_real.npz,Real,Real,0.3384051449596882,iterative,0.8,1.3093490600585938,0.1328670233488083,0.0,0.2364283800125122,0.9857109189033508,0.31112906336784363
Prince Harry lays wreath in memory of late Queen ｜ BBC News_lGO9j_x8gp0_seq003_label_real.npz,Real,Real,0.004685920507957538,quick,1.0,0,,0.0,0.006888723932206631,0.007169037591665983,
How to Go VIRAL on Social Media Using AI_nDZQKKpAbWo_seq000_label_fake.npz,Fake,Deepfake,0.9851743777592977,quick,0.6,0,,1.0,0.9694883823394775,0.9860347509384155,
We Created the World's Most Realistic Digital Twin_m0fdgkJGxHs_seq003_label_fake.npz,Fake,Deepfake,0.613312148861587,iterative,0.6,1.4115405082702637,0.011079508811235428,0.0,0.9994229078292847,0.9785433411598206,0.8304291367530823
We Created the World's Most Realistic Digital Twin_m0fdgkJGxHs_seq004_label_fake.npz,Fake,Deepfake,0.6087402243167163,iterative,0.6,1.3693060874938965,0.012857131659984589,3.337860107421875e-06,0.9996166229248047,0.9265281558036804,0.8580060005187988
Jerusalem shooting： Six killed by Palestinian gunmen ｜ BBC News_8Xeh7TVPp-M_seq000_label_real.npz,Real,Real,0.3793352069798857,iterative,0.6,1.381521463394165,0.010729796253144741,0.0,0.9933905601501465,0.023635055869817734,0.6232554316520691
Prince Harry lays wreath in memory of late Queen ｜ BBC News_lGO9j_x8gp0_seq002_label_real.npz,Real,Real,0.00450056962048014,quick,0.8,0,,0.0,0.0069849141873419285,0.006516794674098492,
How to Make AI Music and a Virtual Band in Under 10 Minutes_cT9Uw2jzMUc_seq002_label_fake.npz,Fake,Real,0.2405814701342024,iterative,0.8,1.355496883392334,0.0008737256284803152,4.172325134277344e-07,0.0320153683423996,0.9841206669807434,0.17811176180839539
Israel intensifies strikes on Gaza City ｜ BBC News_AEu6wVp_Edw_seq001_label_real.npz,Real,Real,0.0023310729690516987,quick,1.0,0,,0.0,0.0016439157770946622,0.005349303130060434,
At least 13 dead in Nepal after protests against social media ban ｜ BBC News__dSRnKy10lA_seq001_label_real.npz,Real,Real,0.11297696472481927,strong,0.8,0,0.0006790875340811908,0.0,0.0073056514374911785,0.7317132949829102,0.0919121578335762
We STOLE MrBeast’s Secret Growth Hack… and THIS Happened_pxPzCFM0qE4_seq002_label_fake.npz,Fake,Deepfake,0.5101961418054998,iterative,0.6,1.413616418838501,0.02584991790354252,1.0,0.363862007856369,0.988778829574585,0.08798693120479584
"Create AI Videos & Images in HeyGen with Veo3, Runway Gen-4, Kling & More! (Step-by-Step)_mZcridN9hq0_seq001_label_fake.npz",Fake,Deepfake,0.619026165548712,iterative,0.6,1.4118802547454834,0.024388348683714867,0.0,0.975517988204956,0.9716938734054565,0.8857482075691223
Jerusalem shooting： Six killed by Palestinian gunmen ｜ BBC News_8Xeh7TVPp-M_seq002_label_real.npz,Real,Real,0.3299944890663028,iterative,0.8,1.386864185333252,0.0319330133497715,5.7220458984375e-06,0.11695303022861481,0.9936005473136902,0.4862251281738281
Prince Harry lays wreath in memory of late Queen ｜ BBC News_lGO9j_x8gp0_seq000_label_real.npz,Real,Real,0.0029382516319553056,quick,1.0,0,,0.0,0.004903336521238089,0.003911418374627829,
How to Go VIRAL on Social Media Using AI_nDZQKKpAbWo_seq002_label_fake.npz,Fake,Deepfake,0.993934710820516,quick,0.6,0,,0.9951171875,0.9968861937522888,0.989800751209259,
We Created the World's Most Realistic Digital Twin_m0fdgkJGxHs_seq001_label_fake.npz,Fake,Deepfake,0.9765512148539225,quick,0.6,0,,0.94873046875,0.9985585808753967,0.9823645949363708,
French government collapses as MPs vote to oust prime minister ｜ BBC News_n-jo7tfhsvQ_seq002_label_real.npz,Real,Deepfake,0.4936295382678509,iterative,0.6,1.3571174144744873,0.18701310455799103,0.0,0.9688888788223267,0.9678612351417542,0.14891552925109863
"Create AI Videos & Images in HeyGen with Veo3, Runway Gen-4, Kling & More! (Step-by-Step)_mZcridN9hq0_seq003_label_fake.npz",Fake,Real,0.3145157063845545,iterative,0.6,1.351083755493164,0.006788118742406368,0.0,0.5139361023902893,0.02540362812578678,0.8996636867523193
Israel intensifies strikes on Gaza City ｜ BBC News_AEu6wVp_Edw_seq004_label_real.npz,Real,Real,0.004164685650418202,quick,0.8,0,,0.0,0.007014169357717037,0.005479887593537569,
At least 13 dead in Nepal after protests against social media ban ｜ BBC News__dSRnKy10lA_seq004_label_real.npz,Real,Real,0.1157302925001002,strong,1.0,0,0.0021288625430315733,0.0,0.3700149655342102,0.10583778470754623,0.18644443154335022
How to Make AI Music and a Virtual Band in Under 10 Minutes_cT9Uw2jzMUc_seq000_label_fake.npz,Fake,Real,0.1874716612898434,strong,0.8,0,0.001375944004394114,0.8525390625,0.19114950299263,0.02212311141192913,0.20576848089694977
At least 13 dead in Nepal after protests against social media ban ｜ BBC News__dSRnKy10lA_seq003_label_real.npz,Real,Real,0.24720385232940317,iterative,0.8,1.3719019889831543,0.12649518251419067,0.0,0.021117443218827248,0.9690384268760681,0.14571264386177063
We STOLE MrBeast’s Secret Growth Hack… and THIS Happened_pxPzCFM0qE4_seq000_label_fake.npz,Fake,Deepfake,0.9820845127105713,quick,0.6,0,,0.99951171875,0.9568086266517639,0.98993319272995,
Israel intensifies strikes on Gaza City ｜ BBC News_AEu6wVp_Edw_seq003_label_real.npz,Real,Real,0.002011966658756137,quick,1.0,0,,5.960464477539063e-08,0.0022487714886665344,0.003787068882957101,
"Create AI Videos & Images in HeyGen with Veo3, Runway Gen-4, Kling & More! (Step-by-Step)_mZcridN9hq0_seq004_label_fake.npz",Fake,Deepfake,0.5497327664852492,iterative,0.6,1.3818435668945312,0.0003928008081857115,9.459257125854492e-05,0.8485580086708069,0.9235454797744751,0.7640316486358643
